Date,Light Sweet Money Managers (R1),Light Sweet Swap Dealers (R1),Light Sweet Manufacturers (R1),Light Sweet Others (R1),Light Sweet (R2),CFFDQSWL Index - Mid Price (R1),CFFDQSWS Index - Mid Price (R1),CFFDQSWD Index - Mid Price (R1),CFFDQPML Index - Mid Price (R1),CFFDQPMS Index - Mid Price (R1),CFFDQMML Index - Mid Price (R1),CFFDQMMS Index - Mid Price (R1),CFFDQMMD Index - Mid Price (R1),CFFDQORL Index - Mid Price (R1),CFFDQORS Index - Mid Price (R1),CFFDQORD Index - Mid Price (R1),SPX Index - Last Price (L1),GC1 Comdty - Last Price (L1),DXY Curncy - Last Price (R4),USGG2YR Index - Last Price (R3)
2010-01-01,133539.0,149261.0,-255556.0,-39461.0,79.36,249809.0,100548.0,225648.0,136934.0,392490.0,172733.0,39194.0,144177.0,74766.0,114227.0,106313.0,1115.1,1096.2,77.86,1.1356
2010-01-08,154775.0,125341.0,-251826.0,-45940.0,82.75,246155.0,120814.0,226385.0,139446.0,391272.0,194643.0,39868.0,158903.0,70391.0,116331.0,110257.0,1144.98,1138.9,77.471,0.9759
2010-01-15,175619.0,100913.0,-251549.0,-39950.0,78.0,229818.0,128905.0,234217.0,149618.0,401167.0,217292.0,41673.0,162548.0,74134.0,114084.0,151396.0,1136.03,1130.5,77.323,0.8621
2010-01-22,177004.0,102480.0,-255474.0,-42623.0,74.54,230685.0,128205.0,253183.0,159912.0,415386.0,214738.0,37734.0,174966.0,65672.0,108295.0,147309.0,1091.76,1089.7,78.277,0.7875
2010-01-29,133155.0,121187.0,-243484.0,-33535.0,72.89,241765.0,120578.0,255259.0,164966.0,408450.0,179142.0,45987.0,183126.0,67431.0,100966.0,143952.0,1073.87,1083.0,79.462,0.8118
2010-02-05,121074.0,142576.0,-237870.0,-35047.0,71.19,264833.0,122257.0,244316.0,167732.0,405602.0,169012.0,47938.0,179801.0,73073.0,108120.0,167275.0,1066.19,1052.2,80.441,0.7633
2010-02-12,88821.0,176627.0,-224662.0,-46761.0,74.13,288269.0,111642.0,228855.0,169586.0,394248.0,153244.0,64423.0,171097.0,71824.0,118585.0,149255.0,1075.51,1089.5,80.218,0.8265
2010-02-19,120441.0,159069.0,-226034.0,-52005.0,79.81,279712.0,120643.0,232952.0,172680.0,398714.0,165827.0,45386.0,167766.0,70176.0,122181.0,145212.0,1109.17,1121.3,80.643,0.9157
2010-02-26,132504.0,134891.0,-227759.0,-47152.0,79.66,262892.0,128001.0,229297.0,156653.0,384412.0,180790.0,48286.0,150938.0,66933.0,114085.0,149083.0,1104.49,1118.9,80.362,0.8118
2010-03-05,144058.0,123309.0,-226069.0,-52641.0,81.5,256984.0,133675.0,233280.0,172391.0,398460.0,189727.0,45669.0,165644.0,65932.0,118573.0,133461.0,1138.7,1135.2,80.432,0.891
2010-03-12,159400.0,109219.0,-233249.0,-50086.0,81.24,254925.0,145706.0,229646.0,192798.0,426047.0,202787.0,43387.0,165050.0,66791.0,116877.0,141964.0,1149.99,1101.7,79.833,0.9476
2010-03-19,170419.0,96139.0,-232275.0,-46276.0,80.68,242830.0,146691.0,237698.0,203833.0,436108.0,213617.0,43198.0,170939.0,69389.0,115665.0,136993.0,1159.9,1107.6,80.724,0.989
2010-03-26,157575.0,107350.0,-233666.0,-45656.0,80.0,254240.0,146890.0,218243.0,170802.0,404468.0,202575.0,45000.0,171629.0,69106.0,114762.0,132828.0,1166.59,1104.3,81.676,1.0396
2010-04-02,169478.0,103987.0,-237219.0,-52324.0,84.87,256073.0,152086.0,194867.0,172462.0,409681.0,212058.0,42580.0,162025.0,67887.0,120211.0,137775.0,1178.1,1125.1,81.173,1.1038
2010-04-09,186732.0,84784.0,-230799.0,-58594.0,84.92,244449.0,159665.0,188569.0,186793.0,417592.0,235370.0,48638.0,175010.0,71312.0,129906.0,149252.0,1194.37,1161.1,81.093,1.0563
2010-04-16,175504.0,80396.0,-226423.0,-62140.0,83.24,243548.0,163152.0,189560.0,240966.0,467389.0,223408.0,47904.0,166713.0,71888.0,134028.0,157151.0,1192.13,1136.3,80.824,0.9513
2010-04-23,167019.0,95741.0,-243867.0,-45544.0,85.12,249454.0,153713.0,191050.0,234264.0,478131.0,212485.0,45466.0,162317.0,70672.0,116216.0,147124.0,1217.28,1153.1,81.352,1.0656
2010-04-30,146930.0,86354.0,-224523.0,-37666.0,86.15,248770.0,162416.0,195324.0,252001.0,476524.0,198047.0,51117.0,174033.0,76187.0,113853.0,155156.0,1186.69,1180.7,81.866,0.9603
2010-05-07,154982.0,83969.0,-214815.0,-45112.0,75.11,251016.0,167047.0,205038.0,257253.0,472068.0,206198.0,51216.0,186864.0,75297.0,120409.0,153647.0,1110.88,1210.4,84.45,0.808
2010-05-14,133442.0,110895.0,-229574.0,-40547.0,71.61,268330.0,157435.0,219020.0,243799.0,473373.0,203191.0,69749.0,175068.0,82316.0,122863.0,169466.0,1135.68,1227.8,86.095,0.782
2010-05-21,88414.0,125497.0,-212126.0,-21053.0,70.04,281279.0,155782.0,219657.0,195135.0,407261.0,191272.0,102858.0,159897.0,88332.0,109385.0,156340.0,1087.69,1176.1,85.371,0.7636
2010-05-28,75856.0,165201.0,-218291.0,-35413.0,73.97,311882.0,146681.0,201043.0,185007.0,403298.0,183241.0,107385.0,151813.0,77469.0,112882.0,153563.0,1089.41,1212.2,86.48,0.7658
